,price,hour,weekday,group,N
price_pearson,,-0.0,-0.01,ALL,48493
hour_pearson,-0.0,,-0.12,ALL,48493
weekday_pearson,-0.01,-0.12,,ALL,48493
price_spearman,,0.05,-0.05,ALL,48493
hour_spearman,0.05,,-0.13,ALL,48493
weekday_spearman,-0.05,-0.13,,ALL,48493
price_kendall,,0.03,-0.04,ALL,48493
hour_kendall,0.03,,-0.1,ALL,48493
weekday_kendall,-0.04,-0.1,,ALL,48493
price_pearson,,-0.03,0.05,autos >> alquiler,750
hour_pearson,-0.03,,0.07,autos >> alquiler,750
weekday_pearson,0.05,0.07,,autos >> alquiler,750
price_spearman,,0.01,0.0,autos >> alquiler,750
hour_spearman,0.01,,0.07,autos >> alquiler,750
weekday_spearman,0.0,0.07,,autos >> alquiler,750
price_kendall,,0.01,0.0,autos >> alquiler,750
hour_kendall,0.01,,0.05,autos >> alquiler,750
weekday_kendall,0.0,0.05,,autos >> alquiler,750
price_pearson,,0.04,0.04,autos >> bicicletas,1977
hour_pearson,0.04,,0.01,autos >> bicicletas,1977
weekday_pearson,0.04,0.01,,autos >> bicicletas,1977
price_spearman,,0.11,0.02,autos >> bicicletas,1977
hour_spearman,0.11,,0.0,autos >> bicicletas,1977
weekday_spearman,0.02,0.0,,autos >> bicicletas,1977
price_kendall,,0.08,0.02,autos >> bicicletas,1977
hour_kendall,0.08,,0.0,autos >> bicicletas,1977
weekday_kendall,0.02,0.0,,autos >> bicicletas,1977
price_pearson,,0.05,0.03,autos >> carros,2014
hour_pearson,0.05,,-0.14,autos >> carros,2014
weekday_pearson,0.03,-0.14,,autos >> carros,2014
price_spearman,,-0.07,-0.15,autos >> carros,2014
hour_spearman,-0.07,,-0.14,autos >> carros,2014
weekday_spearman,-0.15,-0.14,,autos >> carros,2014
price_kendall,,-0.05,-0.12,autos >> carros,2014
hour_kendall,-0.05,,-0.12,autos >> carros,2014
weekday_kendall,-0.12,-0.12,,autos >> carros,2014
price_pearson,,-0.03,0.04,autos >> mecánico,1426
hour_pearson,-0.03,,0.04,autos >> mecánico,1426
weekday_pearson,0.04,0.04,,autos >> mecánico,1426
price_spearman,,0.05,0.11,autos >> mecánico,1426
hour_spearman,0.05,,0.05,autos >> mecánico,1426
weekday_spearman,0.11,0.05,,autos >> mecánico,1426
price_kendall,,0.03,0.08,autos >> mecánico,1426
hour_kendall,0.03,,0.04,autos >> mecánico,1426
weekday_kendall,0.08,0.04,,autos >> mecánico,1426
price_pearson,,0.04,-0.01,autos >> motos,1916
hour_pearson,0.04,,-0.43,autos >> motos,1916
weekday_pearson,-0.01,-0.43,,autos >> motos,1916
price_spearman,,0.13,-0.01,autos >> motos,1916
hour_spearman,0.13,,-0.37,autos >> motos,1916
weekday_spearman,-0.01,-0.37,,autos >> motos,1916
price_kendall,,0.09,-0.01,autos >> motos,1916
hour_kendall,0.09,,-0.3,autos >> motos,1916
weekday_kendall,-0.01,-0.3,,autos >> motos,1916
price_pearson,,0.04,-0.01,autos >> otros,1102
hour_pearson,0.04,,0.0,autos >> otros,1102
weekday_pearson,-0.01,0.0,,autos >> otros,1102
price_spearman,,0.08,0.06,autos >> otros,1102
hour_spearman,0.08,,0.0,autos >> otros,1102
weekday_spearman,0.06,0.0,,autos >> otros,1102
price_kendall,,0.05,0.04,autos >> otros,1102
hour_kendall,0.05,,0.0,autos >> otros,1102
weekday_kendall,0.04,0.0,,autos >> otros,1102
price_pearson,,0.03,-0.01,autos >> piezas/accesorios,1391
hour_pearson,0.03,,-0.76,autos >> piezas/accesorios,1391
weekday_pearson,-0.01,-0.76,,autos >> piezas/accesorios,1391
price_spearman,,-0.0,-0.06,autos >> piezas/accesorios,1391
hour_spearman,-0.0,,-0.53,autos >> piezas/accesorios,1391
weekday_spearman,-0.06,-0.53,,autos >> piezas/accesorios,1391
price_kendall,,-0.0,-0.05,autos >> piezas/accesorios,1391
hour_kendall,-0.0,,-0.45,autos >> piezas/accesorios,1391
weekday_kendall,-0.05,-0.45,,autos >> piezas/accesorios,1391
price_pearson,,-0.04,0.04,compra / venta >> aire acondicionado,2106
hour_pearson,-0.04,,0.08,compra / venta >> aire acondicionado,2106
weekday_pearson,0.04,0.08,,compra / venta >> aire acondicionado,2106
price_spearman,,0.05,-0.04,compra / venta >> aire acondicionado,2106
hour_spearman,0.05,,0.0,compra / venta >> aire acondicionado,2106
weekday_spearman,-0.04,0.0,,compra / venta >> aire acondicionado,2106
price_kendall,,0.04,-0.03,compra / venta >> aire acondicionado,2106
hour_kendall,0.04,,-0.0,compra / venta >> aire acondicionado,2106
weekday_kendall,-0.03,-0.0,,compra / venta >> aire acondicionado,2106
price_pearson,,-0.01,0.03,compra / venta >> antiguedades/colección,1316
hour_pearson,-0.01,,-0.18,compra / venta >> antiguedades/colección,1316
weekday_pearson,0.03,-0.18,,compra / venta >> antiguedades/colección,1316
price_spearman,,0.02,0.01,compra / venta >> antiguedades/colección,1316
hour_spearman,0.02,,-0.16,compra / venta >> antiguedades/colección,1316
weekday_spearman,0.01,-0.16,,compra / venta >> antiguedades/colección,1316
price_kendall,,0.01,0.01,compra / venta >> antiguedades/colección,1316
hour_kendall,0.01,,-0.12,compra / venta >> antiguedades/colección,1316
weekday_kendall,0.01,-0.12,,compra / venta >> antiguedades/colección,1316
price_pearson,,-0.06,-0.04,compra / venta >> arte,1036
hour_pearson,-0.06,,0.02,compra / venta >> arte,1036
weekday_pearson,-0.04,0.02,,compra / venta >> arte,1036
price_spearman,,0.06,0.01,compra / venta >> arte,1036
hour_spearman,0.06,,0.01,compra / venta >> arte,1036
weekday_spearman,0.01,0.01,,compra / venta >> arte,1036
price_kendall,,0.04,0.01,compra / venta >> arte,1036
hour_kendall,0.04,,0.01,compra / venta >> arte,1036
weekday_kendall,0.01,0.01,,compra / venta >> arte,1036
price_pearson,,0.02,-0.02,compra / venta >> celulares/líneas/accesorios,1826
hour_pearson,0.02,,-0.69,compra / venta >> celulares/líneas/accesorios,1826
weekday_pearson,-0.02,-0.69,,compra / venta >> celulares/líneas/accesorios,1826
price_spearman,,-0.02,0.14,compra / venta >> celulares/líneas/accesorios,1826
hour_spearman,-0.02,,-0.6,compra / venta >> celulares/líneas/accesorios,1826
weekday_spearman,0.14,-0.6,,compra / venta >> celulares/líneas/accesorios,1826
price_kendall,,-0.02,0.11,compra / venta >> celulares/líneas/accesorios,1826
hour_kendall,-0.02,,-0.53,compra / venta >> celulares/líneas/accesorios,1826
weekday_kendall,0.11,-0.53,,compra / venta >> celulares/líneas/accesorios,1826
price_pearson,,-0.01,-0.02,compra / venta >> consola videojuego/juegos,2024
hour_pearson,-0.01,,-0.0,compra / venta >> consola videojuego/juegos,2024
weekday_pearson,-0.02,-0.0,,compra / venta >> consola videojuego/juegos,2024
price_spearman,,-0.03,0.08,compra / venta >> consola videojuego/juegos,2024
hour_spearman,-0.03,,-0.0,compra / venta >> consola videojuego/juegos,2024
weekday_spearman,0.08,-0.0,,compra / venta >> consola videojuego/juegos,2024
price_kendall,,-0.02,0.06,compra / venta >> consola videojuego/juegos,2024
hour_kendall,-0.02,,0.0,compra / venta >> consola videojuego/juegos,2024
weekday_kendall,0.06,0.0,,compra / venta >> consola videojuego/juegos,2024
price_pearson,,0.04,-0.01,compra / venta >> cámara foto/video,1829
hour_pearson,0.04,,-0.01,compra / venta >> cámara foto/video,1829
weekday_pearson,-0.01,-0.01,,compra / venta >> cámara foto/video,1829
price_spearman,,0.08,0.01,compra / venta >> cámara foto/video,1829
hour_spearman,0.08,,-0.0,compra / venta >> cámara foto/video,1829
weekday_spearman,0.01,-0.0,,compra / venta >> cámara foto/video,1829
price_kendall,,0.06,0.01,compra / venta >> cámara foto/video,1829
hour_kendall,0.06,,-0.0,compra / venta >> cámara foto/video,1829
weekday_kendall,0.01,-0.0,,compra / venta >> cámara foto/video,1829
price_pearson,,0.05,0.02,compra / venta >> divisas,1154
hour_pearson,0.05,,-0.06,compra / venta >> divisas,1154
weekday_pearson,0.02,-0.06,,compra / venta >> divisas,1154
price_spearman,,-0.06,0.09,compra / venta >> divisas,1154
hour_spearman,-0.06,,-0.07,compra / venta >> divisas,1154
weekday_spearman,0.09,-0.07,,compra / venta >> divisas,1154
price_kendall,,-0.05,0.06,compra / venta >> divisas,1154
hour_kendall,-0.05,,-0.05,compra / venta >> divisas,1154
weekday_kendall,0.06,-0.05,,compra / venta >> divisas,1154
price_pearson,,-0.09,0.08,compra / venta >> electrodomésticos,1585
hour_pearson,-0.09,,-0.93,compra / venta >> electrodomésticos,1585
weekday_pearson,0.08,-0.93,,compra / venta >> electrodomésticos,1585
price_spearman,,-0.02,0.03,compra / venta >> electrodomésticos,1585
hour_spearman,-0.02,,-0.62,compra / venta >> electrodomésticos,1585
weekday_spearman,0.03,-0.62,,compra / venta >> electrodomésticos,1585
price_kendall,,-0.01,0.03,compra / venta >> electrodomésticos,1585
hour_kendall,-0.01,,-0.55,compra / venta >> electrodomésticos,1585
