,N,mean,median,q1,q3,range,variance,std,iqr,mad,cv,mad/median,iqr/median,group
0,670,127.47,65.0,30.0,80.0,5499.5,198943.39,446.03,50.0,29.65,3.5,0.46,0.77,autos >> alquiler
1,1968,531.93,170.0,30.0,550.0,42999.0,3172953.79,1781.28,520.0,234.25,3.35,1.38,3.06,autos >> bicicletas
2,2013,36706.07,26000.0,12000.0,50000.0,949999.0,1929125378.9,43921.81,38000.0,24759.42,1.2,0.95,1.46,autos >> carros
3,1368,687.82,60.0,10.0,152.5,17999.5,5872939.18,2423.41,142.5,81.54,3.52,1.36,2.38,autos >> mecánico
4,1915,2355.48,850.0,75.0,2320.0,89999.0,17771588.41,4215.64,2245.0,1237.97,1.79,1.46,2.64,autos >> motos
5,1084,2118.61,92.5,20.0,352.5,34999.75,39132984.62,6255.64,332.5,122.31,2.95,1.32,3.59,autos >> otros
6,1380,276.43,80.0,25.0,160.0,12344.85,1460792.52,1208.63,135.0,88.96,4.37,1.11,1.69,autos >> piezas/accesorios
7,2104,535.95,600.0,160.0,650.0,48999.9,2394127.72,1547.3,490.0,118.61,2.89,0.2,0.82,compra / venta >> aire acondicionado
8,1298,413.91,50.0,1.0,280.0,26999.9,1961914.65,1400.68,279.0,72.65,3.38,1.45,5.58,compra / venta >> antiguedades/colección
9,1013,428.91,100.0,15.0,300.0,29999.9,2760840.84,1661.58,285.0,140.85,3.87,1.41,2.85,compra / venta >> arte
10,1815,253.24,190.0,110.0,300.0,11110.0,209362.16,457.56,190.0,133.43,1.81,0.7,1.0,compra / venta >> celulares/líneas/accesorios
11,1983,201.55,120.0,20.0,350.0,9999.75,127386.93,356.91,330.0,163.09,1.77,1.36,2.75,compra / venta >> consola videojuego/juegos
12,1825,345.93,200.0,50.0,450.0,24999.9,599068.81,774.0,400.0,252.04,2.24,1.26,2.0,compra / venta >> cámara foto/video
13,1128,159.0,1.12,1.0,99.0,7999.9,399403.83,631.98,98.0,0.21,3.97,0.19,87.5,compra / venta >> divisas
14,1584,376.97,180.0,80.0,450.0,9999.0,382702.66,618.63,370.0,207.56,1.64,1.15,2.06,compra / venta >> electrodomésticos
15,1619,130.88,30.0,15.0,80.0,5999.5,111476.0,333.88,65.0,29.65,2.55,0.99,2.17,compra / venta >> implementos deportivos
16,1902,41.81,25.0,5.0,40.0,2299.75,8501.95,92.21,35.0,28.17,2.21,1.13,1.4,compra / venta >> intercambio/regalo
17,1526,297.76,110.0,40.0,200.0,11999.9,530089.04,728.07,160.0,111.2,2.45,1.01,1.45,compra / venta >> joyas/relojes
18,371,199.48,8.0,1.0,60.0,4999.95,414907.47,644.13,59.0,10.38,3.23,1.3,7.38,compra / venta >> libros/revistas
19,1205,134.98,70.0,5.0,120.0,11110.0,328858.85,573.46,115.0,96.37,4.25,1.38,1.64,compra / venta >> mascotas/animales
20,1296,224.35,87.5,25.0,200.0,11999.3,531273.88,728.89,175.0,107.49,3.25,1.23,2.0,compra / venta >> muebles/decoración
21,1349,129.39,30.0,9.0,105.0,9998.95,183422.26,428.28,96.0,41.51,3.31,1.38,3.2,compra / venta >> otros
22,1081,329.16,111.0,30.0,300.0,24999.9,1878777.08,1370.68,270.0,142.33,4.16,1.28,2.43,compra / venta >> reproductor dvd/vcd/dvr
23,1672,183.39,100.0,30.0,220.0,9999.0,226426.72,475.84,190.0,118.61,2.59,1.19,1.9,compra / venta >> reproductor mp3/mp4/ipod
24,1531,39.78,18.0,8.0,35.0,1299.95,13395.53,115.74,27.0,17.79,2.91,0.99,1.5,compra / venta >> ropa/zapato/accesorios
25,699,219.8,100.0,28.0,200.0,9999.9,282881.88,531.87,172.0,118.61,2.42,1.19,1.72,compra / venta >> satélite
26,1466,521.89,362.5,80.0,800.0,13999.9,554687.89,744.77,720.0,500.38,1.43,1.38,1.99,compra / venta >> televisor
27,944,56.5,35.0,25.0,75.0,1110.99,6671.78,81.68,50.0,29.65,1.45,0.85,1.43,computadoras >> backup/ups
28,695,32.13,0.5,0.38,22.0,1999.9,15453.77,124.31,21.62,0.22,3.87,0.44,43.24,computadoras >> cd/dvd virgen
29,1717,102.48,90.0,45.0,135.0,1399.0,9308.23,96.48,90.0,66.72,0.94,0.74,1.0,computadoras >> chasis/fuente
30,2044,81.99,70.0,50.0,100.0,1233.5,4487.14,66.99,50.0,37.06,0.82,0.53,0.71,computadoras >> disco duro interno/externo
31,1260,150.34,47.5,25.0,140.0,3499.5,111356.85,333.7,115.0,55.6,2.22,1.17,2.42,computadoras >> impresora/cartuchos
32,581,146.1,40.0,10.0,130.0,11110.99,589157.23,767.57,120.0,57.82,5.25,1.45,3.0,computadoras >> internet/email
33,866,349.54,300.0,115.0,450.0,11110.5,321816.77,567.29,335.0,252.04,1.62,0.84,1.12,computadoras >> laptop
34,98,58.36,32.5,10.0,130.0,199.0,3190.62,56.49,120.0,40.99,0.97,1.26,3.69,computadoras >> memoria ram/flash
35,586,103.03,5.0,1.0,70.0,8887.99,253574.28,503.56,69.0,5.93,4.89,1.19,13.8,empleos >> busco empleo
36,353,206.19,3.0,3.0,80.0,7999.75,657735.61,811.01,77.0,2.97,3.93,0.99,25.67,empleos >> ofertas de empleo
37,48323,2305.17,90.0,20.0,317.5,299999.99,159749374.76,12639.2,297.5,121.57,5.48,1.35,3.31,ALL
