,N,mean,median,q1,q3,range,variance,std,iqr,mad,cv,mad/median,iqr/median,variable,group
0,48493,618678436016322.6,90.0,20.0,320.0,1e+19,6.186077160631883e+33,7.865161893204667e+16,300.0,121.57,127.13,1.35,3.33,price,ALL
1,48493,13.42,14.0,10.0,17.0,23.0,24.29,4.93,7.0,5.93,0.37,0.42,0.5,time,ALL
0,750,8058.12,70.0,40.0,100.0,111110.5,750612574.17,27397.31,60.0,44.48,3.4,0.64,0.86,price,autos >> alquiler
1,750,13.54,13.0,10.0,17.0,23.0,26.99,5.2,7.0,5.93,0.38,0.46,0.54,time,autos >> alquiler
0,1977,7751.56,170.0,30.0,550.0,11111099.0,63811484491.79,252609.35,520.0,234.25,32.59,1.38,3.06,price,autos >> bicicletas
1,1977,13.02,13.0,9.0,17.0,23.0,29.93,5.47,8.0,5.93,0.42,0.46,0.62,time,autos >> bicicletas
0,2014,588381.0,26000.0,12000.0,50000.0,1111109999.0,612648856271098.4,24751744.51,38000.0,24759.42,42.07,0.95,1.46,price,autos >> carros
1,2014,13.02,12.0,10.0,16.75,23.0,15.34,3.92,6.75,4.45,0.3,0.37,0.56,time,autos >> carros
0,1426,4909.1,60.0,12.0,200.0,1111109.5,3178020221.39,56373.93,188.0,84.51,11.48,1.41,3.13,price,autos >> mecánico
1,1426,13.05,12.0,9.0,17.0,23.0,28.47,5.34,8.0,5.93,0.41,0.49,0.67,time,autos >> mecánico
0,1916,60345.38,850.0,75.0,2340.0,111110999.0,6439833893362.76,2537682.78,2265.0,1237.97,42.05,1.46,2.66,price,autos >> motos
1,1916,13.8,14.0,11.0,17.0,23.0,13.53,3.68,6.0,4.45,0.27,0.32,0.43,time,autos >> motos
0,1102,10183499097.41,100.0,25.0,400.0,11111099999999.75,1.1193703034279603e+23,334569918466.67,375.0,133.43,32.85,1.33,3.75,price,autos >> otros
1,1102,13.24,13.0,10.0,17.0,23.0,25.32,5.03,7.0,5.93,0.38,0.46,0.54,time,autos >> otros
0,1391,7189201378.79,80.0,25.0,160.0,9999999999999.85,7.183904149116015e+22,268028061014.44,135.0,88.96,37.28,1.11,1.69,price,autos >> piezas/accesorios
